FIPS,perc_fluor,year,locationid,datatype,TEETHLOST,DENTALVISITS,high_cl_TEETHLOST,high_cl_DENTAL,low_cl_TEETHLOST,low_cl_DENTAL,SES,HC,REMS,HTT,TOTAL,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_MINRTY,TEETHLOST_pr,DENTALVISITS_pr,FLUORIDE_pr,SES_pr,HC_pr,REMS_pr,HTT_pr,TOTAL_pr,FIPS_num,POV150_pr,UNEMP_pr,HBURD_pr,NOHSDP_pr,UNINSU_pr,MINRTY_pr
01085,17.6,2020,1085,AgeAdjPrv,22.1,48.4,27.8,52.1,17.3,44.6,0.9628,0.8285,0.9758,0.5064,0.8997,41.5,10.5,30.9,17.8,8.3,75.3,0.9620637329286799,0.11077389984825493,0.2298937784522003,0.9597875569044007,0.8141122913505311,0.9810318664643399,0.5212443095599393,0.8964339908952959,1085,0.966236722306525,0.9673748103186647,0.9377845220030349,0.7993171471927162,0.44916540212443096,0.9810318664643399
01087,100,2020,1087,AgeAdjPrv,19.4,51.8,25.6,55.6,14,47.8,0.9118,0.3275,0.9866,0.9418,0.8896,36.5,10.9,24,16.4,9,83.9,0.8858118361153262,0.21699544764795145,0.802731411229135,0.9047799696509864,0.30083459787556904,0.9893778452200304,0.9457511380880121,0.8850531107738998,1087,0.9108497723823976,0.9723065250379362,0.6650227617602428,0.742412746585736,0.5094840667678301,0.9893778452200304
01089,98.2,2020,1089,AgeAdjPrv,9.5,65,13.6,68.3,6.2,61.5,0.3046,0.359,0.7447,0.3278,0.3596,18.8,4.5,22,8.3,8.1,35.6,0.1035660091047041,0.7856600910470409,0.7173748103186647,0.2871775417298938,0.3311836115326252,0.7408952959028832,0.33763277693474963,0.34408194233687406,1089,0.24393019726858878,0.424886191198786,0.5045523520485584,0.255690440060698,0.4305766312594841,0.7408952959028832
01091,69.5,2020,1091,AgeAdjPrv,17.3,54,21.6,57.1,13.1,50.9,0.8265,0.8428,0.8988,0.4344,0.8113,32.6,6.9,24.2,14.6,8.5,55.2,0.7712443095599393,0.30235204855842185,0.4203338391502276,0.8114567526555387,0.8304248861911988,0.90402124430956,0.44726858877086495,0.8000758725341427,1091,0.825113808801214,0.8042488619119879,0.6798179059180577,0.6612291350531108,0.4677541729893778,0.90402124430956
01093,95.4,2020,1093,AgeAdjPrv,16.4,54.9,22.4,59.3,11.1,50.7,0.7947,0.7212,0.2778,0.5,0.6833,30.6,6.2,20.7,18.9,10.3,8.7,0.7109256449165402,0.3330804248861912,0.6559180576631259,0.7754172989377845,0.6987860394537178,0.26934749620637327,0.5140364188163885,0.6627465857359636,1093,0.7628983308042488,0.7261001517450683,0.3998482549317147,0.838391502276176,0.6100151745068285,0.26934749620637327
01095,75.6,2020,1095,AgeAdjPrv,14.4,58.9,20.4,63,9.4,54.7,0.6489,0.9007,0.5407,0.2416,0.6222,28.7,3.7,21.3,16.7,12.1,19.5,0.5576631259484067,0.4946889226100152,0.4571320182094082,0.618361153262519,0.8945371775417299,0.5257966616084977,0.248103186646434,0.5990136570561456,1095,0.6995447647951442,0.2568285280728376,0.44916540212443096,0.7556904400606981,0.7321699544764795,0.5257966616084977
01097,72.4,2020,1097,AgeAdjPrv,15.8,58.4,20.6,61.5,11.4,55.2,0.8272,0.5325,0.8253,0.6868,0.7947,28.8,5.6,28.3,12.7,11.2,43.5,0.6729893778452201,0.4761001517450683,0.4396813353566009,0.8122154779969651,0.5011380880121397,0.828907435508346,0.6984066767830045,0.7814871016691958,1097,0.701062215477997,0.6312594840667678,0.8649468892261002,0.5580424886191199,0.6726100151745068,0.828907435508346
01099,44.5,2020,1099,AgeAdjPrv,18.9,53.4,23.4,56.6,14.6,50.1,0.9048,0.3657,0.8517,0.3616,0.7241,36.1,13.5,20.8,16.5,12.2,45.9,0.862670713201821,0.27807283763277696,0.3144916540212443,0.8971927162367223,0.33687405159332323,0.8569802731411229,0.37329286798179057,0.706752655538695,1099,0.90402124430956,0.9920333839150227,0.40895295902883155,0.746206373292868,0.7359635811836115,0.8569802731411229
01101,97.6,2020,1101,AgeAdjPrv,14.3,61.6,18.9,65,10.4,58.2,0.8635,0.8488,0.9526,0.7884,0.9032,29.7,6.4,30.2,12.7,10.1,66.8,0.5474203338391502,0.6145675265553869,0.6987860394537178,0.8512898330804249,0.8376327769347496,0.9594081942336874,0.7955235204855842,0.8998482549317147,1101,0.7367223065250379,0.7518968133535661,0.921092564491654,0.5580424886191199,0.5967374810318664,0.9594081942336874
01103,78.2,2020,1103,AgeAdjPrv,14.4,60.7,20,64.2,9.7,57.1,0.5878,0.782,0.6174,0.4433,0.6413,24.9,4.8,20.3,16,10.2,24.7,0.5576631259484067,0.5747344461305007,0.4776176024279211,0.5561456752655539,0.7617602427921093,0.6035660091047041,0.4559939301972686,0.6191198786039454,1103,0.5284522003034902,0.48179059180576633,0.36532625189681334,0.7234446130500759,0.6062215477996965,0.6035660091047041
